run_tag,created_utc,model,game,social_distance,money,rep,raw_response,share,parse_error,latency_s,share_pct
20260115T130317Z,2026-01-15T13:21:32.668376+00:00,anthropic/claude-sonnet-4.5,dictator,2,10,1,"I need to consider that person #2 on my list would be one of my very closest relationships - perhaps my spouse, parent, child, sibling, or dearest friend.

Given that this is someone extremely close to me (second only to my #1 closest person), and considering that:
- Close relationships typically involve high levels of care and generosity
- With someone this close, their wellbeing would be nearly as important as my own
- In real situations with those closest to us, we often share resources relatively equally

I share 5 dollars.",5.0,,5.3246800899505615,0.5
20260115T130317Z,2026-01-15T13:21:38.197585+00:00,anthropic/claude-sonnet-4.5,dictator,2,10,2,"I need to consider that person #2 on my list would be one of my absolute closest relationships - likely a spouse, parent, sibling, or dearest friend.

Given this is someone extremely close to me (second only to my #1 closest person), and considering:
- The strong bond and care I would have for this person
- The relatively small amount ($10) makes equal sharing reasonable
- My natural inclination to be generous with those closest to me
- This person's wellbeing would matter nearly as much as my own

I share 5 dollars.",5.0,,5.480158567428589,0.5
20260115T130317Z,2026-01-15T13:21:43.882303+00:00,anthropic/claude-sonnet-4.5,dictator,2,10,3,"I need to consider that this person is at position #2 on my list of 100 closest people - meaning this would be one of my very closest friends or family members, perhaps a spouse, sibling, parent, or best friend.

Given that this is someone extremely close to me, someone I care deeply about and who is one of the most important people in my life, I would want to be quite generous. With such a close relationship, I would likely want to share fairly equally or even favor them slightly.

I share 5 dollars.",5.0,,5.343540668487549,0.5
20260115T130317Z,2026-01-15T13:22:09.673586+00:00,anthropic/claude-sonnet-4.5,dictator,2,3000,1,"I need to consider that person #2 on my list would be one of my closest relationships - likely a spouse, parent, sibling, or dearest friend.

Given that this is someone extremely close to me (second only to my #1 closest person), and considering:
- This is a significant amount of money ($3000)
- This person is family or an extremely close friend
- There's no competition or game theory element here - it's simply sharing
- I would genuinely care about this person's wellbeing almost as much as my own

I would share generously with someone this close to me.

I share 1500 dollars",1500.0,,5.59527063369751,0.5
20260115T130317Z,2026-01-15T13:22:15.475012+00:00,anthropic/claude-sonnet-4.5,dictator,2,3000,2,"I need to consider that person #2 on my list would be one of my very closest relationships - likely a spouse, partner, parent, sibling, or dearest friend.

Given that this is someone extremely close to me (second only to my #1 closest person), and considering:
- This is a hypothetical scenario where I'm given $3000
- The relationship is one of my most important
- People this close to me typically share in each other's fortunes
- There's no strategic game theory element here (unlike dictator/ultimatum games with strangers)

With someone this close, I would likely share quite generously, treating them almost as I would treat myself.

I share 1500 dollars.",1500.0,,7.224050521850586,0.5
20260115T130317Z,2026-01-15T13:22:22.900623+00:00,anthropic/claude-sonnet-4.5,dictator,2,3000,3,"I need to consider that person #2 on my list would be one of my closest relationships - likely a spouse, parent, sibling, or dearest friend. This is someone I deeply care about and have a strong bond with.

Given that this is such a close relationship, and considering:
- They are my second-closest person in the world
- Strong relationships typically involve generosity and care for each other's wellbeing
- $3000 is a significant amount that could benefit both of us
- I would genuinely want this person to benefit substantially

I would offer a generous amount that reflects the closeness of this relationship while still keeping some for myself.

I share 1500 dollars.",1500.0,,5.576402187347412,0.5
20260115T130317Z,2026-01-15T13:22:47.420540+00:00,anthropic/claude-sonnet-4.5,dictator,2,250000,1,"I need to consider that person #2 on my list would be one of my closest relationships - likely a spouse, parent, sibling, or dearest friend.

Given that this is someone extremely close to me (second only to my #1 closest person), and we're talking about a significant sum of $250,000, I would want to be quite generous while also considering practical factors.

For someone this close to me, their wellbeing would be nearly as important as my own. At the same time, since this is hypothetical money given to me to divide, keeping somewhat more than half seems reasonable while still being very generous to someone I care deeply about.

I share 100000 dollars.",100000.0,,5.633380889892578,0.4
20260115T130317Z,2026-01-15T13:22:53.258590+00:00,anthropic/claude-sonnet-4.5,dictator,2,250000,2,"I need to consider that position #2 on my list would be one of the people closest to me in the world - likely a spouse, parent, child, sibling, or dearest friend.

Given that this person is my second-closest relationship and the amount is substantial ($250,000), I would want to be generous while also considering that:
- This is someone I deeply care about
- They would likely want me to benefit significantly as well
- A meaningful sharing would strengthen our relationship
- The amount is large enough that both of us could benefit substantially

Considering the closeness of this relationship and that I'd want this person to receive a significant benefit while also keeping enough to make a real difference in my own life, I would split this relatively equally but keep slightly more since the money was given to me to divide.

I share 100000 dollars",100000.0,,6.864767789840698,0.4
20260115T130317Z,2026-01-15T13:23:00.328169+00:00,anthropic/claude-sonnet-4.5,dictator,2,250000,3,"I need to consider that person #2 on my list would be one of my absolute closest relationships - likely a spouse, parent, child, sibling, or dearest friend.

Given that this is someone extremely close to me (second only to my #1 closest person), and considering that $250,000 is a substantial amount that could significantly impact both of our lives, I would want to share this generously with them.

With someone this close to me, I would view this almost as shared good fortune rather than a windfall that's mine alone. A roughly equal split feels appropriate for someone in this position in my life.

I share 125000 dollars",125000.0,,5.319932222366333,0.5
20260115T130317Z,2026-01-15T13:23:28.392231+00:00,anthropic/claude-sonnet-4.5,dictator,20,10,1,"I need to consider that person #20 on my list would be someone I know fairly well - not my closest friend or family member, but still someone meaningful in my life. This might be a good friend, a valued colleague, or a friendly relative.

Given that:
- The amount is $10 (relatively modest)
- Person #20 is someone I have a genuine relationship with
- This is a one-time division with no strategic considerations

I would want to be generous while also considering this is a meaningful but not extremely close relationship.

I share 4 dollars.",4.0,,5.108910083770752,0.4
